_merge_key,stop_name,boardings,alightings,passengers,route_count,lat,lon,district,total_riders,boardings_per_route,hourly_pattern_boardings,morning_boardings,evening_boardings,peak_hour,peak_hour_label,morning_concentration,evening_concentration,boarding_alighting_diff,boarding_alighting_imbalance,stop_type
name:K-2입구|,K-2입구,61051,23260,23260,2.0,35.89420833,128.6448767,동구,84311,30525.5,2034.0,477.0,553.0,17.0,17시,23.451327433628318,27.18780727630285,37791,0.44823332661218585,퇴근형
name:K2관사입구(종점)|,K2관사입구(종점),13532,1177,1177,1.0,35.90262833,128.67201,동구,14709,13532.0,434.0,122.0,93.0,14.0,14시,28.110599078341014,21.428571428571427,12355,0.8399619280712489,출근형
name:KT남대구지사건너1|,KT남대구지사건너1,183407,77083,77083,7.0,35.83939167,128.57256,남구,260490,26201.0,6700.0,1132.0,1676.0,17.0,17시,16.895522388059703,25.01492537313433,106324,0.40816921954777535,퇴근형
name:KT남대구지사건너2|,KT남대구지사건너2,73813,34821,34821,3.0,35.83860833,128.5713717,남구,108634,24604.333333333332,3126.0,470.0,734.0,16.0,16시,15.035188739603328,23.480486244401792,38992,0.35892998508754165,생활형
name:KT남대구지사앞1|,KT남대구지사앞1,404219,160972,160972,9.0,35.83925,128.5721917,남구,565191,44913.22222222222,15186.0,3231.0,3300.0,8.0,8시,21.276175424733307,21.730541288028444,243247,0.4303801723665097,생활형
name:KT남대구지사앞2|,KT남대구지사앞2,40248,45668,45668,3.0,35.83762,128.5714017,남구,85916,13416.0,1363.0,456.0,225.0,7.0,7시,33.4556126192223,16.507703595011005,-5420,0.0630848735974673,출근형
name:KT동대구지사건너|,KT동대구지사건너,449331,325519,325519,11.0,35.88463398,128.626135,동구,774850,40848.27272727273,15842.0,4113.0,3024.0,8.0,8시,25.96263098093675,19.08849892690317,123812,0.15978834613150933,출근형
name:KT동대구지사앞|,KT동대구지사앞,361075,43639,43639,9.0,35.88458333,128.6263983,동구,404714,40119.444444444445,12611.0,2180.0,2347.0,10.0,10시,17.28649591626358,18.610736658472764,317436,0.7843464767712508,생활형
name:KT북대구지사건너|,KT북대구지사건너,32080,9245,9245,1.0,35.88118167,128.582075,북구,41325,32080.0,1051.0,229.0,287.0,18.0,18시,21.788772597526165,27.30732635585157,22835,0.5525710828796129,퇴근형
name:KT북대구지사앞|,KT북대구지사앞,80808,12919,12919,1.0,35.881065,128.5830617,북구,93727,80808.0,2786.0,677.0,516.0,7.0,7시,24.300071787508973,18.521177315147163,67889,0.7243270348992286,생활형
name:KT서대구지사건너|,KT서대구지사건너,365866,85773,85773,6.0,35.87181167,128.5641267,서구,451639,60977.666666666664,12576.0,3049.0,2409.0,8.0,8시,24.244592875318066,19.155534351145036,280093,0.6201700915997068,생활형
name:KT서대구지사앞|,KT서대구지사앞,280292,160104,160104,6.0,35.8720643,128.564034,서구,440396,46715.333333333336,9628.0,2219.0,2251.0,8.0,8시,23.047361861238056,23.379725799750727,120188,0.27290892741986755,생활형
name:LG물류센터건너|,LG물류센터건너,123942,58729,58729,9.0,35.873955,128.6909933,동구,182671,13771.333333333334,4519.0,938.0,799.0,16.0,16시,20.75680460278823,17.68090285461385,65213,0.3569970055454889,생활형
name:LG물류센터앞|,LG물류센터앞,173111,68698,68698,10.0,35.8742022,128.6895328,동구,241809,17311.1,5992.0,1731.0,1048.0,8.0,8시,28.888518024032045,17.489986648865152,104413,0.43179947810048425,출근형
name:LH10단지아파트건너|,LH10단지아파트건너,230179,61654,61654,4.0,35.87371167,128.7496883,동구,291833,57544.75,7676.0,2385.0,1501.0,7.0,7시,31.07087024491923,19.554455445544555,168525,0.5774706767226462,출근형
name:LH10단지아파트앞|,LH10단지아파트앞,43336,40602,40602,4.0,35.87373667,128.749895,동구,83938,10834.0,1591.0,277.0,387.0,8.0,8시,17.410433689503456,24.324324324324326,2734,0.03257166003478758,생활형
